Run,Algorithm,Heuristic,Execution Time (ms),Memory Used (Bytes)
2,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
3,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
4,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
5,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
6,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
7,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,9,192
8,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,9,192
9,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
10,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
11,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,9,192
12,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
13,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
14,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
15,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
16,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,9,192
17,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
18,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
19,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
20,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
21,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,9,192
22,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,9,192
23,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
24,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
25,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,12,192
26,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,14,192
27,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,13,192
28,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,13,192
29,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,14,192
30,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,15,192
31,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,12,192
32,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,13,192
33,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,13,192
34,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,13,192
35,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,13,192
36,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,13,192
37,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,15,192
38,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,13,192
39,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
40,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,12,192
41,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
42,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,12,192
43,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
44,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,12,192
45,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
46,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,12,192
47,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,12,192
48,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
49,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
50,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
51,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
52,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
53,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
54,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
55,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
56,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
57,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
58,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
59,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
60,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
61,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
62,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
63,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,12,192
64,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
65,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
66,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,10,192
67,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
68,IDA*,Linear Conflict and EvenOdd Numbers Heuristic,11,192
